etID  | Input | Output {GOLD}
92     | #ra# | #ra# {GOLD: #ra#}
93     | #ra# | #ra# {GOLD: #ra#}
94     | #ra# | #ra# {GOLD: #ra#}
95     | #ra# | #ra# {GOLD: #ra#}
96     | #raap# | #rap# {GOLD: #rap#}
97     | #raal# | #raj# {GOLD: #raj#}
98     | #ram# | #rɐm# {GOLD: #rɐm#}
99     | #ram# | #rɐm# {GOLD: #rɐm#}
100    | #raj# | #raj# {GOLD: #raj#}
101    | #rew# | #rew# {GOLD: #rew#}
102    | #rew# | #rew# {GOLD: #rew#}
103    | #rej# | #rej# {GOLD: #rej#}
104    | #reŋ# | #reŋ# {GOLD: #reŋ#}
105    | #reŋ# | #reŋ# {GOLD: #reŋ#}
106    | #ri# | #ri# {GOLD: #ri#}
107    | #ri# | #ri# {GOLD: #ri#}
108    | #ri# | #ri# {GOLD: #ri#}
109    | #ril# | #ri# {GOLD: #ri#}
110    | #rik# | #rik# {GOLD: #rik#}
111    | #row# | #ruj# {GOLD: #ruj#}
112    | #rok# | #rok# {GOLD: #rok#}
113    | #ru# | #ru# {GOLD: #ru#}
114    | #ruul# | #ruw# {GOLD: #ru#}
115    | #rum# | #rum# {GOLD: #rum#}
116    | #ruŋ# | #ruŋ# {GOLD: #roŋ#}
117    | #ruk# | #ruk# {GOLD: #ruk#}
118    | #rwok# | #rok# {GOLD: #ok#}
119    | #na# | #na# {GOLD: #na#}
120    | #na# | #na# {GOLD: #na#}
121    | #na# | #na# {GOLD: #na#}
122    | #na# | #na# {GOLD: #na#}
123    | #naw# | #naw# {GOLD: #naw#}
124    | #nam# | #nɐm# {GOLD: #nɐm#}
125    | #nam# | #nɐm# {GOLD: #nɐm#}
126    | #nap# | #nɐp# {GOLD: #nɐp#}
127    | #nap# | #nɐp# {GOLD: #nɐp#}
128    | #naj# | #naj# {GOLD: #naj#}
129    | #naj# | #naj# {GOLD: #naj#}
130    | #naj# | #naj# {GOLD: #naj#}
131    | #naŋ# | #nɐŋ# {GOLD: #nɐ#}
132    | #nak# | #nɐk# {GOLD: #nɐk#}
133    | #nem# | #nem# {GOLD: #nɐm#}
134    | #ni# | #ni# {GOLD: #ni#}
135    | #ni# | #ni# {GOLD: #ni#}
136    | #ni# | #ni# {GOLD: #ni#}
137    | #nim# | #nim# {GOLD: #nim#}
138    | #nir# | #nir# {GOLD: #nir#}
139    | #niŋ# | #niŋ# {GOLD: #niŋ#}
140    | #niŋ# | #niŋ# {GOLD: #niŋ#}
141    | #niŋ# | #niŋ# {GOLD: #niŋ#}
142    | #nɨ# | #nɨ# {GOLD: #nu#}
143    | #now# | #nuj# {GOLD: #nuj#}
144    | #nu# | #nu# {GOLD: #nu#}
145    | #nuk# | #nuk# {GOLD: #nuk#}
146    | #da# | #ra# {GOLD: #ra#}
147    | #dar# | #rɐr# {GOLD: #rɐr#}
148    | #dak# | #rɐk# {GOLD: #rɐk#}
149    | #deŋ# | #reŋ# {GOLD: #reŋ#}
150    | #dik# | #rik# {GOLD: #rik#}
151    | #dɨ# | #rɨ# {GOLD: #ru#}
152    | #dɨ# | #rɨ# {GOLD: #ru#}
153    | #dom# | #rom# {GOLD: #rom#}
154    | #du# | #ru# {GOLD: #ru#}
155    | #du# | #ru# {GOLD: #ru#}
156    | #duŋ# | #ruŋ# {GOLD: #tuŋ#}
157    | #duŋ# | #ruŋ# {GOLD: #ruŋ#}
158    | #dlek# | #tek# {GOLD: #tek#}
159    | #dlok# | #tok# {GOLD: #tok#}
160    | #ta# | #ta# {GOLD: #ta#}
161    | #tat# | #tɐt# {GOLD: #tɐt#}
162    | #taŋ# | #tɐŋ# {GOLD: #tɐŋ#}
163    | #tɐk# | #tɐk# {GOLD: #tɐk#}
164    | #tew# | #tew# {GOLD: #tew#}
165    | #tep# | #tep# {GOLD: #tep#}
166    | #tek# | #tek# {GOLD: #tek#}
167    | #tow# | #tuj# {GOLD: #to#}
168    | #tla# | #ta# {GOLD: #ta#}
169    | #tli# | #ti# {GOLD: #ti#}
170    | #tlow# | #tuj# {GOLD: #tuj#}
171    | #tʰa# | #tʰa# {GOLD: #tʰa#}
172    | #tʰa# | #tʰa# {GOLD: #tʰa#}
173    | #tʰaak# | #tʰak# {GOLD: #tʰak#}
174    | #tʰaaw# | #tʰaw# {GOLD: #tʰaw#}
175    | #tʰaw# | #tʰaw# {GOLD: #tʰaw#}
176    | #tʰar# | #tʰɐr# {GOLD: #tʰɐr#}
177    | #tʰat# | #tʰɐt# {GOLD: #tʰɐt#}
178    | #tʰaj# | #tʰaj# {GOLD: #tʰaj#}
179    | #tʰak# | #tʰɐk# {GOLD: #tʰɐk#}
180    | #tʰɐr# | #tʰɐr# {GOLD: #tʰɐr#}
181    | #tʰej# | #tʰej# {GOLD: #tʰej#}
182    | #tʰej# | #tʰej# {GOLD: #tʰej#}
183    | #tʰeŋ# | #tʰeŋ# {GOLD: #tʰeŋ#}
184    | #tʰi# | #tʰi# {GOLD: #tʰi#}
185    | #tʰi# | #tʰi# {GOLD: #tʰi#}
186    | #tʰin# | #tʰin# {GOLD: #tʰin#}
187    | #tʰiŋ# | #tʰiŋ# {GOLD: #tʰiŋ#}
188    | #tʰik# | #tʰik# {GOLD: #tʰik#}
189    | #tʰɨ# | #tʰɨ# {GOLD: #tʰu#}
190    | #tʰow# | #tʰuj# {GOLD: #tʰuj#}
191    | #tʰuur# | #tʰur# {GOLD: #tʰur#}
192    | #tʰum# | #tʰum# {GOLD: #tʰum#}
193    | #tʰum# | #tʰum# {GOLD: #tʰum#}
194    | #tʰuk# | #tʰuk# {GOLD: #tʰuk#}
195    | #sa# | #sa# {GOLD: #sa#}
196    | #sa# | #sa# {GOLD: #sa#}
197    | #saam# | #sam# {GOLD: #sam#}
198    | #saar# | #sar# {GOLD: #sar#}
199    | #saaŋ# | #saŋ# {GOLD: #saŋ#}
200    | #sam# | #sɐm# {GOLD: #sɐm#}
201    | #sak# | #sɐk# {GOLD: #sɐk#}
202    | #sak# | #sɐk# {GOLD: #sak#}
203    | #se# | #se# {GOLD: #si#}
204    | #si# | #si# {GOLD: #ci#}
205    | #si# | #si# {GOLD: #si#}
206    | #sik# | #sik# {GOLD: #sik#}
207    | #sik# | #sik# {GOLD: #sik#}
208    | #soj# | #suj# {GOLD: #suj#}
209    | #su# | #su# {GOLD: #su#}
210    | #su# | #su# {GOLD: #su#}
211    | #sun# | #sun# {GOLD: #sun#}
212    | #sun# | #sun# {GOLD: #ʃun#}
213    | #sum# | #sum# {GOLD: #ʃim#}
214    | #t͡sa# | #t͡sa# {GOLD: #t͡sa#}
215    | #t͡sa# | #t͡sa# {GOLD: #t͡sa#}
216    | #t͡saan# | #t͡san# {GOLD: #t͡sɐn#}
217    | #t͡saat# | #t͡sat# {GOLD: #t͡sɐn#}
218    | #t͡saat# | #t͡sat# {GOLD: #t͡sat#}
219    | #t͡saaŋ# | #t͡saŋ# {GOLD: #t͡sɐŋ#}
220    | #t͡sap# | #t͡sɐp# {GOLD: #cɐp#}
221    | #t͡sar# | #t͡sɐr# {GOLD: #t͡sɐr#}
222    | #t͡saŋ# | #t͡sɐŋ# {GOLD: #t͡sɐŋ#}
223    | #t͡sɐt# | #t͡sɐt# {GOLD: #t͡sat#}
224    | #t͡sɐt# | #t͡sɐt# {GOLD: #t͡sat#}
225    | #t͡sej# | #t͡sej# {GOLD: #t͡sej#}
226    | #t͡ser# | #t͡ser# {GOLD: #cor#}
227    | #t͡si# | #t͡si# {GOLD: #t͡si#}
228    | #t͡si# | #t͡si# {GOLD: #ci#}
229    | #t͡si# | #t͡si# {GOLD: #ci#}
230    | #t͡si# | #t͡si# {GOLD: #ci#}
231    | #t͡sim# | #t͡sim# {GOLD: #t͡sim#}
232    | #t͡sik# | #t͡sik# {GOLD: #t͡sik#}
233    | #t͡siŋ# | #t͡siŋ# {GOLD: #t͡siŋ#}
234    | #t͡su# | #t͡su# {GOLD: #t͡su#}
235    | #ʃa# | #ʃa# {GOLD: #ʃa#}
236    | #ʃa# | #ʃa# {GOLD: #ʃa#}
237    | #ʃa# | #ʃa# {GOLD: #ʃa#}
238    | #ʃap# | #ʃɐp# {GOLD: #ʃap#}
239    | #ʃat# | #ʃɐt# {GOLD: #ʃat#}
240    | #ʃaj# | #ʃaj# {GOLD: #ʃaj#}
241    | #ʃaŋ# | #ʃɐŋ# {GOLD: #ʃɐŋ#}
242    | #ʃaŋ# | #ʃɐŋ# {GOLD: #ʃɐŋ#}
243    | #ʃɐt# | #ʃɐt# {GOLD: #ʃat#}
244    | #ʃɐŋ# | #ʃɐŋ# {GOLD: #ʃɐŋ#}
245    | #ʃi# | #ʃi# {GOLD: #ʃi#}
246    | #ʃi# | #ʃi# {GOLD: #ʃi#}
247    | #ʃi# | #ʃi# {GOLD: #ʃi#}
248    | #ʃim# | #ʃim# {GOLD: #ʃim#}
249    | #ʃim# | #ʃim# {GOLD: #ʃim#}
250    | #ʃo# | #ʃo# {GOLD: #ʃo#}
251    | #ʃon# | #ʃon# {GOLD: #ʃon#}
252    | #ʃoj# | #ʃuj# {GOLD: #ʃuj#}
253    | #ʃok# | #ʃok# {GOLD: #ʃok#}
254    | #ʃoŋ# | #ʃoŋ# {GOLD: #ʃoŋ#}
255    | #ʃu# | #ʃu# {GOLD: #ʃu#}
256    | #ʃuur# | #ʃur# {GOLD: #ʃur#}
257    | #ʃup# | #ʃup# {GOLD: #ʃup#}
258    | #ʃut# | #ʃut# {GOLD: #ʃut#}
259    | #ʃuk# | #ʃuk# {GOLD: #ʃuk#}
260    | #ʃuŋ# | #ʃuŋ# {GOLD: #ʃuŋ#}
261    | #ʃuŋ# | #ʃuŋ# {GOLD: #ʃuŋ#}
262    | #ʃuŋ# | #ʃuŋ# {GOLD: #ʃuŋ#}
263    | #ja# | #ja# {GOLD: #ja#}
264    | #ja# | #ja# {GOLD: #ja#}
265    | #ja# | #ja# {GOLD: #ja#}
266    | #ja# | #ja# {GOLD: #ja#}
267    | #jaam# | #jam# {GOLD: #jam#}
268    | #jap# | #jɐp# {GOLD: #jɐp#}
269    | #jaŋ# | #jɐŋ# {GOLD: #jɐŋ#}
270    | #jak# | #jɐk# {GOLD: #jɐk#}
271    | #jon# | #jon# {GOLD: #jon#}
272    | #joj# | #juj# {GOLD: #juj#}
273    | #joŋ# | #joŋ# {GOLD: #joŋ#}
274    | #jwor# | #jwor# {GOLD: #jor#}
275    | #ju# | #ju# {GOLD: #ju#}
276    | #ju# | #ju# {GOLD: #ju#}
277    | #juŋ# | #juŋ# {GOLD: #juŋ#}
278    | #ca# | #ca# {GOLD: #ca#}
279    | #caaŋ# | #caŋ# {GOLD: #caŋ#}
280    | #caaŋ# | #caŋ# {GOLD: #caŋ#}
281    | #caw# | #caw# {GOLD: #caw#}
282    | #car# | #cɐr# {GOLD: #cɐr#}
283    | #caj# | #caj# {GOLD: #caj#}
284    | #ci# | #ci# {GOLD: #ci#}
285    | #ciaŋ# | #ciɐŋ# {GOLD: #caŋ#}
286    | #cik# | #cik# {GOLD: #cik#}
287    | #cow# | #cuj# {GOLD: #cuj#}
288    | #cow# | #cuj# {GOLD: #cuj#}
289    | #cow# | #cuj# {GOLD: #cuj#}
290    | #con# | #con# {GOLD: #con#}
291    | #con# | #con# {GOLD: #con#}
292    | #cuŋ# | #cuŋ# {GOLD: #cuŋ#}
293    | #ŋa# | #ŋa# {GOLD: #ŋa#}
294    | #ŋar# | #ŋɐr# {GOLD: #ŋɐr#}
295    | #ŋaj# | #ŋaj# {GOLD: #naj#}
296    | #ŋom# | #ŋom# {GOLD: #ŋom#}
297    | #ŋum# | #ŋum# {GOLD: #ŋum#}
298    | #ŋun# | #ŋun# {GOLD: #ŋun#}
299    | #ka# | #ka# {GOLD: #ka#}
300    | #ka# | #ka# {GOLD: #ka#}
301    | #kaap# | #kap# {GOLD: #kap#}
302    | #kaw# | #kaw# {GOLD: #kaw#}
303    | #kaw# | #kaw# {GOLD: #kaw#}
304    | #kal# | #kaj# {GOLD: #kej#}
305    | #kaj# | #kaj# {GOLD: #kaj#}
306    | #kaŋ# | #kɐŋ# {GOLD: #kaŋ#}
307    | #kak# | #kɐk# {GOLD: #kɐk#}
308    | #kɐn# | #kɐn# {GOLD: #kan#}
309    | #kej# | #kej# {GOLD: #kej#}
310    | #ko# | #ko# {GOLD: #ko#}
311    | #kow# | #kuj# {GOLD: #kuj#}
312    | #kow# | #kuj# {GOLD: #kuj#}
313    | #kow# | #kuj# {GOLD: #kuj#}
314    | #kol# | #kuj# {GOLD: #kuj#}
315    | #koŋ# | #koŋ# {GOLD: #koŋ#}
316    | #kʰa# | #kʰa# {GOLD: #kʰa#}
317    | #kʰaaŋ# | #kʰaŋ# {GOLD: #kʰaŋ#}
318    | #kʰaw# | #kʰaw# {GOLD: #kʰaw#}
319    | #kʰaj# | #kʰaj# {GOLD: #kʰaj#}
320    | #kʰaj# | #kʰaj# {GOLD: #kʰaj#}
321    | #kʰaj# | #kʰaj# {GOLD: #kʰaj#}
322    | #kʰak# | #kʰɐk# {GOLD: #kʰɐk#}
323    | #kʰɐm# | #kʰɐm# {GOLD: #kʰam#}
324    | #kʰej# | #kʰej# {GOLD: #kʰej#}
325    | #kʰow# | #kʰuj# {GOLD: #kʰow#}
326    | #kʰop# | #kʰop# {GOLD: #kʰop#}
327    | #kʰot# | #kʰot# {GOLD: #kʰot#}
328    | #kʰoj# | #kʰuj# {GOLD: #kʰuj#}
329    | #kʰoŋ# | #kʰoŋ# {GOLD: #kʰoŋ#}
330    | #kʰoŋ# | #kʰoŋ# {GOLD: #kʰoŋ#}
331    | #kʰok# | #kʰok# {GOLD: #kʰok#}
332    | #kʰok# | #kʰok# {GOLD: #kʰok#}
333    | #kʰu# | #kʰu# {GOLD: #kʰu#}
334    | #kʰu# | #kʰu# {GOLD: #kʰu#}
335    | #kʰuul# | #kʰuw# {GOLD: #kʰu#}
336    | #kʰum# | #kʰum# {GOLD: #kʰum#}
337    | #kʰur# | #kʰur# {GOLD: #kʰur#}
338    | #kʰut# | #kʰut# {GOLD: #kʰut#}
339    | #kʰuk# | #kʰuk# {GOLD: #kʰuk#}
340    | #ha# | #ha# {GOLD: #ha#}
341    | #haaw# | #haw# {GOLD: #haw#}
342    | #haaŋ# | #haŋ# {GOLD: #haŋ#}
343    | #haw# | #haw# {GOLD: #haw#}
344    | #hal# | #haj# {GOLD: #haj#}
345    | #han# | #hɐn# {GOLD: #hɐn#}
346    | #han# | #hɐn# {GOLD: #hɐn#}
347    | #haj# | #haj# {GOLD: #haj#}
348    | #hak# | #hɐk# {GOLD: #hɐk#}
349    | #hɐŋ# | #hɐŋ# {GOLD: #hɐŋ#}
350    | #ho# | #ho# {GOLD: #ho#}
351    | #hol# | #huj# {GOLD: #hol#}
352    | #hoj# | #huj# {GOLD: #huj#}
353    | #hur# | #hur# {GOLD: #hur#}
354    | #hla# | #hla# {GOLD: #la#}
355    | #hla# | #hla# {GOLD: #la#}
356    | #hlip# | #hlip# {GOLD: #rip#}
357    | #hri# | #hri# {GOLD: #ri#}
358    | #hrit# | #hrit# {GOLD: #rit#}
359    | #hriŋ# | #hriŋ# {GOLD: #riŋ#}
360    | #hrik# | #hrik# {GOLD: #rik#}
361    | #hroj# | #hruj# {GOLD: #ruj#}
362    | #hwa# | #hwa# {GOLD: #ha#}
363    | #hwa# | #hwa# {GOLD: #ha#}
364    | #hwa# | #hwa# {GOLD: #ha#}
365    | #hwɨ# | #hwɨ# {GOLD: #fu#}
366    | #hwor# | #hwor# {GOLD: #hor#}
367    | #hwok# | #hwok# {GOLD: #hok#}
368    | #hwut# | #hut# {GOLD: #hut#}
369    | #ʔa# | #ʔa# {GOLD: #ʔa#}
370    | #ʔi# | #ʔi# {GOLD: #ʔi#}
